B435,eB435,V606,eV606,I814,eI814,Y105,eY105,J125,eJ125,JH140,eJH140,H160,eH160,bright_mag,bright_magerr,stel,fwhm,area,zmax,label
99.0,29.4956,99.0,30.1007,99.0,29.6273,27.6209,0.4096,27.5378,0.596,27.9255,0.6894,27.2978,0.3386,27.7926,28.3891,0.67,0.299,10.0,6.96,not_spike
30.4822,2.1358,29.3622,0.8521,27.3427,0.2721,26.5456,0.1677,26.7754,0.3207,26.6478,0.2532,27.0382,0.2373,26.744,28.4885,0.01,0.464,18.0,5.89,not_spike
99.0,28.3486,99.0,28.9159,26.5227,0.1794,24.6562,0.0507,24.1075,0.0544,24.1204,0.0467,23.9408,0.0276,23.9691,27.9151,0.98,0.187,79.0,6.593,not_spike
27.7715,0.3867,30.1534,1.2754,29.0622,0.8956,25.9745,0.1103,25.5773,0.1345,25.9236,0.15,25.6212,0.0802,25.7078,28.4102,0.97,0.188,37.0,6.69,not_spike
99.0,28.7608,28.1261,0.3172,29.3453,1.0809,26.5863,0.1907,27.6072,0.6583,26.7672,0.311,26.7806,0.2145,26.8178,28.3777,0.0,0.725,35.0,6.374,not_spike
99.0,28.4562,30.3365,1.5617,26.8851,0.2075,26.5022,0.2044,26.992,0.4919,26.6403,0.3208,26.3106,0.1707,26.5133,28.2329,0.0,0.618,27.0,5.22,not_spike
29.6644,1.4383,28.5407,0.503,25.795,0.0801,25.0717,0.0597,24.9926,0.0935,24.9939,0.0798,25.0509,0.0568,25.0801,27.7876,0.98,0.185,53.0,5.55,not_spike
28.8717,0.8019,32.6051,3.2964,28.3217,0.5332,27.1778,0.2883,27.3487,0.5379,32.6716,4.6172,26.7283,0.1994,26.9728,28.4671,0.0,0.706,29.0,5.611,not_spike
29.1494,0.9087,31.7133,2.4299,28.3849,0.5351,26.9494,0.2198,26.9672,0.3692,26.4816,0.2132,26.5678,0.16,26.7473,28.1405,0.0,0.599,29.0,6.114,not_spike
29.6425,1.1474,99.0,29.541,27.715,0.2792,27.0819,0.2192,27.1999,0.4005,26.6334,0.2176,27.493,0.2987,26.9058,28.2681,0.0,0.532,23.0,5.511,not_spike
99.0,29.1223,29.6049,0.6837,28.7885,0.5514,27.5654,0.298,27.44,0.428,27.9545,0.5565,27.4882,0.2696,27.8478,28.863,0.0,0.478,16.0,5.61,not_spike
99.0,29.4665,31.1505,1.4681,28.0378,0.2626,27.4092,0.3021,27.9433,0.651,27.8867,0.5614,27.541,0.3159,27.8293,28.6435,0.65,0.364,13.0,5.169,not_spike
27.8139,0.418,99.0,29.226,28.9719,0.8911,26.0033,0.1244,25.8417,0.1819,25.8161,0.1499,25.9376,0.1149,25.9901,27.8899,0.02,0.399,42.0,6.604,not_spike
29.31,0.9367,29.7787,0.8873,99.0,29.0081,27.0751,0.2252,28.1285,0.7816,27.5916,0.4642,26.79,0.1707,26.9927,28.7122,0.06,0.428,13.0,6.71,spike
28.713,0.704,32.6176,3.2735,99.0,28.879,27.778,0.3992,30.2016,2.2773,28.049,0.6578,27.2972,0.2639,27.6466,28.6981,0.0,0.462,14.0,6.489,not_spike
99.0,28.9954,99.0,29.5225,27.3651,0.2059,27.1807,0.2273,26.8366,0.2895,26.813,0.2376,27.3329,0.2557,27.1175,28.3419,0.0,0.505,20.0,5.28,not_spike
99.0,28.8425,29.6332,0.8438,99.0,29.0079,28.3784,0.5537,28.7319,1.0166,28.3373,0.7184,27.9639,0.3897,28.5778,28.8756,0.0,0.457,12.0,4.81,not_spike
99.0,28.2405,27.8938,0.385,32.808,4.516,26.4483,0.2389,26.3683,0.361,26.4306,0.329,26.3225,0.2065,26.5778,28.0194,0.0,0.598,23.0,6.62,not_spike
99.0,28.1368,29.942,1.5243,28.0635,0.6986,25.9735,0.1832,25.9265,0.291,25.5668,0.1838,25.6544,0.1359,25.7882,27.4021,0.0,1.327,98.0,6.344,not_spike
99.0,29.6285,31.0216,1.2457,31.9481,2.3915,28.0055,0.4085,28.6992,1.0499,27.7505,0.4706,28.0197,0.4391,28.5995,28.4145,0.58,0.289,9.0,6.49,not_spike
99.0,28.4756,28.719,0.6061,28.6964,0.8296,26.4162,0.201,26.6783,0.3943,26.8096,0.3853,26.3526,0.18,26.5686,28.2123,0.0,0.77,45.0,6.53,not_spike
99.0,28.3142,27.5452,0.2767,25.2919,0.0625,24.2909,0.0378,24.3559,0.071,24.0669,0.0442,24.287,0.0379,24.113,27.5202,0.98,0.21,77.0,5.631,not_spike
99.0,28.0415,28.061,0.4987,27.5366,0.495,25.1331,0.0927,24.9293,0.1307,24.5437,0.0803,24.2165,0.0412,24.2593,27.749,0.0,1.246,137.0,7.322,not_spike
30.3553,0.7617,99.0,30.7567,31.2362,1.07,26.932,0.2301,26.6559,0.2979,27.2018,0.4167,26.1877,0.121,26.3239,28.5086,0.72,0.134,9.0,7.077,not_spike
28.4947,0.249,99.0,30.3998,29.7136,0.4961,26.8652,0.2027,26.5712,0.2428,27.4556,0.4781,26.5546,0.1546,26.7349,28.5929,0.78,0.148,8.0,6.8,not_spike
31.0504,1.4077,99.0,30.409,31.0052,1.1478,28.4191,0.6694,27.1141,0.3906,28.9911,1.1538,27.1245,0.2111,27.3868,28.7953,0.38,0.441,15.0,7.621,not_spike
30.4185,1.4934,29.2328,0.5468,27.9715,0.2167,26.7491,0.1792,26.6027,0.235,26.898,0.2619,26.7681,0.1595,26.903,28.1447,0.0,0.641,30.0,5.91,not_spike
28.4589,0.4166,99.0,29.7549,27.5898,0.1454,26.5787,0.1477,26.8749,0.2835,26.9812,0.2674,26.9411,0.1764,26.7498,28.6696,0.0,0.564,28.0,6.06,not_spike
29.2018,0.4484,33.6888,3.337,99.0,30.3063,27.1816,0.2929,27.6818,0.6484,26.9016,0.3503,26.2912,0.137,26.448,28.4697,0.82,0.133,10.0,7.232,not_spike
99.0,28.9195,99.0,29.3629,27.2638,0.1535,26.3549,0.1691,26.0169,0.1962,25.9676,0.1588,25.891,0.1009,26.0023,28.42,0.0,0.82,67.0,5.776,not_spike
99.0,29.2769,29.7625,0.8064,26.391,0.0559,25.8956,0.0871,25.9155,0.1395,26.4897,0.1857,26.2859,0.1103,25.9903,28.5914,0.96,0.251,36.0,5.69,not_spike
99.0,28.875,28.5096,0.4146,27.2676,0.1554,25.9132,0.1202,26.4002,0.284,26.3028,0.2173,26.1119,0.1297,26.0485,28.2417,0.0,0.458,63.0,6.23,not_spike
31.3201,3.0949,28.1575,0.5265,25.4408,0.0569,24.5233,0.061,24.0475,0.0649,23.5338,0.0339,23.28,0.019,23.2994,27.6606,0.03,0.451,223.0,5.383,not_spike
29.3003,0.4387,31.1429,1.112,99.0,30.4313,28.9682,0.7438,27.6595,0.4084,28.1991,0.5395,27.3991,0.2083,27.657,29.0861,0.7,0.217,9.0,7.826,not_spike
99.0,29.2897,30.7778,1.4013,28.6293,0.3592,27.1907,0.3853,26.7731,0.4019,27.047,0.4259,26.2218,0.1503,26.3963,28.2927,0.0,0.746,36.0,6.242,not_spike
99.0,29.0291,99.0,29.4908,28.1988,0.2996,26.8656,0.2264,26.7141,0.3032,26.3749,0.1965,26.5806,0.1593,26.615,28.1312,0.0,0.485,47.0,6.04,not_spike
99.0,29.679,30.7819,1.121,30.6451,1.0735,28.5861,0.5443,28.2956,0.6152,28.5048,0.6369,27.7744,0.2604,28.1176,29.192,0.0,0.415,14.0,6.54,not_spike
29.8492,0.6482,99.0,30.5039,31.0441,1.1065,28.2558,0.3318,27.5258,0.2847,28.7359,0.6034,28.5567,0.3973,27.9128,28.8337,0.55,0.125,6.0,6.59,not_spike
28.1172,0.4487,29.2969,0.763,26.4619,0.0831,25.6414,0.1369,25.8202,0.2048,25.6458,0.1832,25.6581,0.1057,25.7752,28.1337,0.0,0.88,81.0,5.61,not_spike
29.9067,0.7845,99.0,30.3208,31.3289,1.4064,28.0373,0.3038,28.196,0.5004,28.3413,0.4844,28.327,0.3383,28.4607,29.2645,0.01,0.371,12.0,6.53,not_spike
